FOOD,QUALITY
food1,1
food2,1
food3,1
food4,1
food5,1
food6,1
food7,1
food8,1
food9,1
food10,1
food11,1
food12,1
food13,1
food14,1
food15,1
food16,1
food17,1
food18,1
food19,1
food20,1
food21,1
food22,1
food23,1
food24,1
food25,1
food26,1
food27,1
food28,1
food29,1
food30,1
food31,1
food32,1
food33,1
food34,1
food35,1
food36,1
food37,1
food38,1
food39,1
food40,1
food41,1
food42,1
food43,1
food44,1
food45,1
food46,1
food47,1
food48,1
food49,1
food50,1
food51,1
food52,1
food53,1
food54,1
food55,1
food56,1
food57,1
food58,1
food59,1
food60,1
food61,1
food62,1
food63,1
food64,1
food65,1
food66,1
food67,1
food68,1
food69,1
food70,1
food71,1
food72,1
food73,1
food74,1
food75,1
food76,1
food77,1
food78,1
food79,1
food80,1
food81,1
food82,1
food83,1
food84,1
food85,1
food86,1
food87,1
food88,1
food89,1
food90,1
food91,1
food92,1
food93,1
food94,1
food95,1
food96,1
food97,1
food98,1
food99,1
food100,1
food101,1
food102,1
food103,1
food104,1
food105,1
food106,1
food107,1
food108,1
food109,1
food110,1
food111,1
food112,1
food113,1
food114,1
food115,1
food116,1
food117,1
food118,1
food119,1
food120,1
food121,1
food122,1
food123,1
food124,1
food125,1
food126,1
food127,1
food128,1
food129,1
food130,1
food131,1
food132,1
food133,1
food134,1
food135,1
food136,1
food137,1
food138,1
food139,1
food140,1
food141,1
food142,1
food143,1
food144,1
food145,1
food146,1
food147,1
food148,1
food149,1
food150,1
food151,1
food152,1
food153,1
food154,1
food155,1
food156,1
food157,1
food158,1
food159,1
food160,1
food161,1
food162,1
food163,1
food164,1
food165,1
food166,1
food167,1
food168,1
food169,1
food170,1
food171,1
food172,1
food173,1
food174,1
food175,1
food176,1
food177,1
food178,1
food179,1
food180,1
food181,1
food182,1
food183,1
food184,1
food185,1
food186,1
food187,1
food188,1
food189,1
food190,1
food191,1
food192,1
food193,1
food194,1
food195,1
food196,1
food197,1
food198,1
food199,1
food200,1
food201,1
food202,1
food203,1
food204,1
food205,1
food206,1
food207,1
food208,1
food209,1
food210,1
food211,1
food212,1
food213,1
food214,1
food215,1
food216,1
food217,1
food218,1
food219,1
food220,1
food221,1
food222,1
food223,1
food224,1
food225,1
food226,1
food227,1
food228,1
food229,1
food230,1
food231,1
food232,1
food233,1
food234,1
food235,1
food236,1
food237,1
food238,1
food239,1
food240,1
food241,1
food242,1
food243,1
food244,1
food245,1
food246,1
food247,1
food248,1
food249,1
food250,1
food251,1
food252,1
food253,1
food254,1
food255,1
food256,1
food257,1
food258,1
food259,1
food260,1
food261,1
food262,1
food263,1
food264,1
food265,1
food266,1
food267,1
food268,1
food269,1
food270,1
food271,1
food272,1
food273,1
food274,1
food275,1
food276,1
food277,1
food278,1
food279,1
food280,1
food281,1
food282,1
food283,1
food284,1
food285,1
food286,1
food287,1
food288,1
food289,1
food290,1
food291,1
food292,1
food293,1
food294,1
food295,1
food296,1
food297,1
food298,1
food299,1
food300,1
food301,1
food302,1
food303,1
food304,1
food305,1
food306,1
food307,1
food308,1
food309,1
food310,1
food311,1
food312,1
food313,1
food314,1
food315,1
food316,1
food317,1
food318,1
food319,1
food320,1
food321,1
food322,1
food323,1
food324,1
food325,1
food326,1
food327,1
food328,1
food329,1
food330,1
food331,1
food332,1
food333,1
food334,1
food335,1
food336,1
food337,1
food338,1
food339,1
food340,1
food341,1
food342,1
food343,1
food344,1
food345,1
food346,1
food347,1
food348,1
food349,1
food350,1
food351,1
food352,1
food353,1
food354,1
food355,1
food356,1
food357,1
food358,1
food359,1
food360,1
food361,1
food362,1
food363,1
food364,1
food365,1
food366,1
food367,1
food368,1
food369,1
food370,1
food371,1
food372,1
